"","Pixel_Number","Log_Frequency","Log_Brightness_Temperature","Fit","Concave/Convex"
"0","0","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.85579672  3.13095797  5.16698858 -2.26930447  2.12379763  4.46186016]","[-2.45751633  8.51020938]","Convex"
"1","1","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.7757339   3.02328259  5.03125258 -2.62814013  1.95861236  4.3163974 ]","[-2.51937772  8.50242584]","Convex"
"2","2","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.80238181  3.08259296  5.13398119 -2.54280848  2.05511227  4.42146719]","[-2.52989957  8.60851496]","Convex"
"3","3","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.73522648  2.96569819  4.9842293  -2.85610044  1.90630506  4.26742623]","[-2.57203362  8.55760784]","Convex"
"4","4","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.70853711  2.91981203  4.90838251 -2.9002771   1.81676064  4.19011106]","[-2.55942008  8.46554113]","Convex"
"5","5","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.66851196  2.852575    4.86040515 -3.01148683  1.73394909  4.14308505]","[-2.57687159  8.44398419]","Convex"
"6","6","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.69409051  2.88417491  4.91850066 -2.97522824  1.80969754  4.20115605]","[-2.5848347   8.51184402]","Convex"
"7","7","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.66288829  2.82751595  4.85400014 -3.0520931   1.7345929   4.13747303]","[-2.58593246  8.45330695]","Convex"
"8","8","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.74958544  3.03157407  5.06913818 -2.79081168  1.9632611   4.35479374]","[-2.58441199  8.65162461]","Convex"
"9","9","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.71262016  2.93123697  4.97978892 -2.94686629  1.86362327  4.26418599]","[-2.59841132  8.59182253]","Convex"
"10","10","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.71154827  2.97602381  4.97432268 -2.92690965  1.87939148  4.25942052]","[-2.59334829  8.59044952]","Convex"
"11","11","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.6918494   2.88703627  4.90132232 -3.01318731  1.8055335   4.18604715]","[-2.59098144  8.51521619]","Convex"
"12","12","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.6838173   2.86451197  4.90590684 -3.00269175  1.78887044  4.18920213]","[-2.58879905  8.50482165]","Convex"
"13","13","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.65863219  2.80668605  4.84611184 -3.05876907  1.72276094  4.12989278]","[-2.58449461  8.43979756]","Convex"
"14","14","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.6698417   2.82352012  4.85539578 -3.04822394  1.74561166  4.13933069]","[-2.58427628  8.45260115]","Convex"
"15","15","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.64563954  2.76367244  4.79010877 -3.08865754  1.68454443  4.07428141]","[-2.57306718  8.37137684]","Convex"
"16","16","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.63801802  2.80950501  4.77682047 -3.06889772  1.66928414  4.06115233]","[-2.56629538  8.35682835]","Convex"
"17","17","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.61629172  2.76394918  4.73209721 -3.08935024  1.60973648  4.01795406]","[-2.55705947  8.29408168]","Convex"
"18","18","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.62943088  2.78720763  4.73524704 -3.10484968  1.65048294  4.01963548]","[-2.56229223  8.31850138]","Convex"
"19","19","[3.15228834 2.17609126 1.34242268 4.36172784 2.61066016 1.65321251]","[ 0.60835051  2.73930831  4.68412695 -3.11963213  1.58523906  3.96970897]","[-2.5489344  8.2427715]","Convex"
